MapDate,StateAbbreviation,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20200317,AK,100.00,0.00,0.00,0.00,0.00,0.00,2020-03-17,2020-03-23,2
20200310,AK,100.00,0.00,0.00,0.00,0.00,0.00,2020-03-10,2020-03-16,2
20200303,AK,93.82,6.18,0.00,0.00,0.00,0.00,2020-03-03,2020-03-09,2
20200225,AK,93.82,6.18,0.00,0.00,0.00,0.00,2020-02-25,2020-03-02,2
20200218,AK,92.08,7.92,0.00,0.00,0.00,0.00,2020-02-18,2020-02-24,2
20200211,AK,90.30,9.70,0.00,0.00,0.00,0.00,2020-02-11,2020-02-17,2
20200204,AK,90.30,9.70,0.00,0.00,0.00,0.00,2020-02-04,2020-02-10,2
20200128,AK,90.30,9.70,0.00,0.00,0.00,0.00,2020-01-28,2020-02-03,2
20200121,AK,93.82,6.18,0.00,0.00,0.00,0.00,2020-01-21,2020-01-27,2
20200114,AK,93.82,5.35,0.83,0.00,0.00,0.00,2020-01-14,2020-01-20,2
20200107,AK,93.82,5.35,0.83,0.00,0.00,0.00,2020-01-07,2020-01-13,2
20191231,AK,93.19,5.98,0.83,0.00,0.00,0.00,2019-12-31,2020-01-06,2
20191224,AK,93.19,5.98,0.83,0.00,0.00,0.00,2019-12-24,2019-12-30,2
20191217,AK,93.19,5.98,0.83,0.00,0.00,0.00,2019-12-17,2019-12-23,2
20191210,AK,92.48,6.69,0.83,0.00,0.00,0.00,2019-12-10,2019-12-16,2
20191203,AK,92.48,6.69,0.83,0.00,0.00,0.00,2019-12-03,2019-12-09,2
20191126,AK,91.18,7.99,0.83,0.00,0.00,0.00,2019-11-26,2019-12-02,2
20191119,AK,91.18,7.99,0.83,0.00,0.00,0.00,2019-11-19,2019-11-25,2
20191112,AK,90.30,5.74,3.96,0.00,0.00,0.00,2019-11-12,2019-11-18,2
20191105,AK,90.30,5.74,3.96,0.00,0.00,0.00,2019-11-05,2019-11-11,2
20191029,AK,90.30,5.74,1.96,2.00,0.00,0.00,2019-10-29,2019-11-04,2
20191022,AK,89.28,5.93,2.79,2.00,0.00,0.00,2019-10-22,2019-10-28,2
20191015,AK,89.28,5.93,2.79,2.00,0.00,0.00,2019-10-15,2019-10-21,2
20191008,AK,88.64,6.33,3.02,1.13,0.88,0.00,2019-10-08,2019-10-14,2
20191001,AK,88.64,6.33,3.02,1.13,0.88,0.00,2019-10-01,2019-10-07,2
20190924,AK,82.25,7.40,7.71,1.77,0.88,0.00,2019-09-24,2019-09-30,2
20190917,AK,76.18,11.93,6.01,4.37,1.50,0.00,2019-09-17,2019-09-23,2
20190910,AK,70.96,11.20,11.08,5.26,1.50,0.00,2019-09-10,2019-09-16,2
20190903,AK,69.10,13.06,11.08,5.26,1.50,0.00,2019-09-03,2019-09-09,2
20190827,AK,66.67,15.48,11.08,5.26,1.50,0.00,2019-08-27,2019-09-02,2
20190820,AK,66.67,22.13,6.61,3.27,1.32,0.00,2019-08-20,2019-08-26,2
