year,month,state,d0,d1,d2,d3,d4,DSCI_avg,DSCI_summed
115,2016,6,HI,14.475,28.417500000000004,14.105,2.3775,0.0,135.02250000000004,540.0900000000001
116,2016,6,IA,27.2425,7.035,0.0,0.0,0.0,41.3125,165.25
117,2016,6,ID,23.095,0.22499999999999998,0.0,0.0,0.0,23.545,94.18
118,2016,6,IL,22.6525,1.29,0.0,0.0,0.0,25.2325,100.93
119,2016,6,IN,38.6,0.0,0.0,0.0,0.0,38.6,154.4
120,2016,6,KS,7.255,0.0,0.0,0.0,0.0,7.255,29.02
121,2016,6,KY,3.2300000000000004,0.3225,0.0,0.0,0.0,3.875,15.5
122,2016,6,LA,11.72,0.4225,0.0,0.0,0.0,12.565,50.26
123,2016,6,MA,59.92,22.937499999999996,0.0,0.0,0.0,105.795,423.18
124,2016,6,MD,2.05,0.0,0.0,0.0,0.0,2.05,8.2
125,2016,6,ME,38.754999999999995,7.719999999999999,0.0,0.0,0.0,54.195,216.78
126,2016,6,MI,14.257499999999999,0.0,0.0,0.0,0.0,14.257499999999999,57.029999999999994
127,2016,6,MN,22.447499999999998,0.9574999999999999,0.005,0.0,0.0,24.3775,97.51
128,2016,6,MO,44.0625,1.7075,0.0,0.0,0.0,47.4775,189.91
129,2016,6,MS,54.325,16.9625,0.0,0.0,0.0,88.25,353.0
130,2016,6,MT,19.78,7.9375,0.0675,0.0,0.0,35.8575,143.43
131,2016,6,NC,11.057500000000001,9.870000000000001,1.055,0.0,0.0,33.962500000000006,135.85000000000002
132,2016,6,ND,14.71,1.1075,0.0475,0.0,0.0,17.0675,68.27
133,2016,6,NE,11.2625,0.785,0.0,0.0,0.0,12.8325,51.33
134,2016,6,NH,52.5475,23.707500000000003,0.0,0.0,0.0,99.9625,399.85
135,2016,6,NJ,24.665,28.9725,0.0,0.0,0.0,82.61,330.44
136,2016,6,NM,56.8,20.557499999999997,0.0,0.0,0.0,97.91499999999999,391.65999999999997
137,2016,6,NV,32.95,12.57,20.1975,1.4825000000000002,0.0,132.025,528.1
138,2016,6,NY,72.26,5.5925,0.0,0.0,0.0,83.445,333.78
139,2016,6,OH,37.87,0.0,0.0,0.0,0.0,37.87,151.48
140,2016,6,OK,9.005,1.465,0.0,0.0,0.0,11.935,47.74
141,2016,6,OR,59.00750000000001,40.842499999999994,0.0,0.0,0.0,140.6925,562.77
142,2016,6,PA,59.1025,1.7625000000000002,0.0,0.0,0.0,62.6275,250.51
143,2016,6,PR,12.48,4.83,0.0,0.0,0.0,22.14,88.56
